222
      1 >accession:NP_243128.1|locus:BH2262|genome:Bacillus halodurans C-125
      1 >accession:NP_347865.1|locus:CA_C1233|genome:Clostridium acetobutylicum ATCC 824
      1 >accession:NP_389284.1|locus:BSU14010|genome:Bacillus subtilis subsp. subtilis str. 168
      1 >accession:NP_637318.1|locus:XCC1953|genome:Xanthomonas campestris pv. campestris str. ATCC 33913
      1 >accession:NP_642313.1|locus:XAC1987|genome:Xanthomonas axonopodis pv. citri str. 306
      1 >accession:NP_717596.1|locus:SO_1989|genome:Shewanella oneidensis MR-1
      1 >accession:NP_718684.1|locus:SO_3123|genome:Shewanella oneidensis MR-1
      1 >accession:NP_718806.1|locus:SO_3252|genome:Shewanella oneidensis MR-1
      1 >accession:NP_906363.1|locus:WS0095|genome:Wolinella succinogenes DSM 1740
      1 >accession:NP_908183.1|locus:WS2084|genome:Wolinella succinogenes DSM 1740
      1 >accession:NP_951936.1|locus:GSU0879|genome:Geobacter sulfurreducens PCA
      1 >accession:YP_001140724.1|locus:ASA_0827|genome:Aeromonas salmonicida subsp. salmonicida A449
      1 >accession:YP_001141327.1|locus:ASA_1487|genome:Aeromonas salmonicida subsp. salmonicida A449
      1 >accession:YP_001143032.1|locus:ASA_3302|genome:Aeromonas salmonicida subsp. salmonicida A449
      1 >accession:YP_001254278.1|locus:CBO1777|genome:Clostridium botulinum A str. ATCC 3502
      1 >accession:YP_001384034.1|locus:CLB_1712|genome:Clostridium botulinum A str. ATCC 19397
      1 >accession:YP_001387576.1|locus:CLC_1720|genome:Clostridium botulinum A str. Hall
      1 >accession:YP_001391032.1|locus:CLI_1772|genome:Clostridium botulinum F str. Langeland
      1 >accession:YP_001398667.1|locus:JJD26997_1686|genome:Campylobacter jejuni subsp. doylei 269.97
      1 >accession:YP_001420974.1|locus:RBAM_013800|genome:Bacillus amyloliquefaciens FZB42
      1 >accession:YP_001481837.1|locus:C8J_0261|genome:Campylobacter jejuni subsp. jejuni 81116
      1 >accession:YP_001486539.1|locus:BPUM_1296|genome:Bacillus pumilus SAFR-032
      1 >accession:YP_001489551.1|locus:Abu_0617|genome:Arcobacter butzleri RM4018
      1 >accession:YP_001697040.1|locus:Bsph_1302|genome:Lysinibacillus sphaericus C3-41
